#	Frequencies and overlap
#	bins	Data	shuffle	overlap	overlap_shuffle
	0.025	0.8	0.35	0	0
	0.05	0.625	0.225	0	0
	0.075	0.775	0.4	0	0
	0.1	0.75	0.375	0	0
	0.125	0.55	0.25	0	0
	0.15	0.75	0.3	0	0
	0.175	0.675	0.4	0	0
	0.2	0.575	0.3	0	0
	0.225	0.7	0.225	0	0
	0.25	0.825	0.275	0	0
	0.275	0.625	0.3	0	0
	0.3	0.75	0.45	0	0
	0.325	0.8	0.4	0	0
	0.35	0.7	0.25	0	0
	0.375	0.725	0.35	0	0
	0.4	0.675	0.35	0	0
	0.425	0.675	0.45	0	0
	0.45	0.775	0.375	0	0
	0.475	0.725	0.375	0	0
	0.5	0.625	0.275	0	0
	0.525	0.75	0.2	0	0
	0.55	0.775	0.45	0	0
	0.575	0.725	0.325	0	0
	0.6	0.65	0.225	0	0
	0.625	0.725	0.275	0	0
	0.65	0.725	0.4	0	0
	0.675	0.6	0.35	0	0
	0.7	0.675	0.15	0	0
	0.725	0.725	0.225	0	0
	0.75	0.8	0.375	0	0
	0.775	0.7	0.25	0	0
	0.8	0.75	0.275	0	0
	0.825	0.7	0.275	0	0
	0.85	0.675	0.35	0	0
	0.875	0.75	0.35	0	0
	0.9	0.675	0.3	0	0
	0.925	0.725	0.4	0	0
	0.95	0.675	0.275	0	0
	0.975	0.725	0.175	0	0
	1	0.75	0.225	0	0


#	yrange	sparsity	# links	zeta	support at cross
	0	4.52035e-05	49	54	54	53	51	50	0.55	0.0525932
	1	4.52035e-05	49	54	54	53	51	50	0.55	0.0525932
