AES	AES	-1	-1	1	1
AIB1	AIB1	-1	-1	1	0.932
AIB1	SP1	1	1	1	0.186
AKT1	AKT1	-1	-1	1	1
BIRC5	BIRC5	-1	-1	1	1
BRCA1	BRCA1	-1	-1	1	0.994
BRD4	BRD4	-1	-1	1	0.583
BRD4	DVL3	-1	-1	1	0.117
BRD4	SP1	1	1	1	0.431
BYSL	BRCA1	-1	-1	1	0.13
BYSL	BRD4	1	1	1	0.283
BYSL	BYSL	1	1	1	0.112
BYSL	CCNB1	-1	-1	1	0.126
BYSL	CEBPB	1	1	1	0.383
BYSL	DVL3	1	1	1	0.112
BYSL	E2F4	-1	-1	1	0.538
BYSL	FOXM1C	1	1	1	0.829
BYSL	GNL3	-1	-1	1	0.21
BYSL	JUN	1	1	1	0.141
BYSL	LKB1	1	1	1	0.485
BYSL	MIZ1	-1	-1	1	0.677
BYSL	MYB	-1	-1	1	0.789
BYSL	MYC	1	1	1	0.168
BYSL	MYCBP	1	1	1	0.108
BYSL	P107	1	1	1	0.129
BYSL	RELA	1	1	1	0.403
BYSL	SP1	1	1	1	0.601
BYSL	STAT5B	1	1	1	0.199
BYSL	TCF7L2	-1	-1	1	0.542
BYSL	TIF1B	1	1	1	0.802
BYSL	YY1	-1	-1	1	0.177
CCNB1	CCNB1	-1	-1	1	0.729
CEBPB	CEBPB	-1	-1	1	0.996
CEBPB	SP1	1	1	1	0.17
CHUK	CHUK	-1	-1	1	1
CHUK	TBP	1	1	1	0.118
CTNNB1	CTNNB1	-1	-1	1	1
DP1	DP1	-1	-1	1	1
DP2	DP2	-1	-1	1	0.476
DVL3	AIB1	1	1	1	0.148
DVL3	BRCA1	-1	-1	1	0.375
DVL3	BYSL	-1	-1	1	0.117
DVL3	CCNB1	1	1	1	0.485
DVL3	CEBPB	-1	-1	1	0.11
DVL3	DP1	1	1	1	0.112
DVL3	DVL3	-1	-1	1	0.767
DVL3	E2F4	1	1	1	0.917
DVL3	FOXM1C	-1	-1	1	0.463
DVL3	GCN1L1	-1	-1	1	0.188
DVL3	GNL3	-1	-1	1	0.593
DVL3	JUN	1	1	1	0.517
DVL3	MAX_1	1	1	1	0.71
DVL3	MIZ1	1	1	1	0.873
DVL3	MYC	1	1	1	0.467
DVL3	MYCBP	-1	-1	1	0.661
DVL3	P107	-1	-1	1	0.732
DVL3	P300	1	1	1	0.753
DVL3	P53	1	1	1	0.259
DVL3	RB1	-1	-1	1	0.121
DVL3	RELA	1	1	1	0.348
DVL3	RPL11	-1	-1	1	0.303
DVL3	SP1	1	1	1	0.19
DVL3	STAT3	-1	-1	1	0.141
DVL3	STAT5B	-1	-1	1	0.167
DVL3	TCF7L2	-1	-1	1	0.188
DVL3	TIF1B	-1	-1	1	0.102
DVL3	YY1	1	1	1	0.234
E2F4	E2F4	-1	-1	1	0.988
E2F4	GCN1L1	1	1	1	0.109
ENO1	ENO1	-1	-1	1	0.709
FOXM1C	FOXM1C	-1	-1	1	0.802
GCN1L1	GCN1L1	-1	-1	1	0.949
GCN1L1	SP1	1	1	1	0.125
GNL3	AIB1	-1	-1	1	0.238
GNL3	BIRC5	1	1	1	0.217
GNL3	BRCA1	-1	-1	1	0.33
GNL3	BRD4	-1	-1	1	0.259
GNL3	BYSL	1	1	1	0.195
GNL3	CCNB1	1	1	1	0.204
GNL3	CEBPB	-1	-1	1	0.251
GNL3	CHUK	1	1	1	0.234
GNL3	DP1	1	1	1	0.566
GNL3	DP2	1	1	1	0.2
GNL3	DVL3	1	1	1	0.344
GNL3	E2F4	1	1	1	0.972
GNL3	ENO1	-1	-1	1	0.155
GNL3	FOXM1C	-1	-1	1	0.773
GNL3	GCN1L1	-1	-1	1	0.183
GNL3	GNL3	1	1	1	0.247
GNL3	JUN	1	1	1	0.726
GNL3	LKB1	-1	-1	1	0.538
GNL3	MAX_1	1	1	1	0.403
GNL3	MIZ1	1	1	1	0.82
GNL3	MYB	-1	-1	1	0.726
GNL3	MYC	-1	-1	1	0.149
GNL3	MYCBP	-1	-1	1	0.556
GNL3	P107	-1	-1	1	0.586
GNL3	P300	1	1	1	0.255
GNL3	P53	1	1	1	0.155
GNL3	RELA	1	1	1	0.166
GNL3	SP1	-1	-1	1	0.556
GNL3	STAT3	-1	-1	1	0.105
GNL3	STAT5B	-1	-1	1	0.206
GNL3	TBP	-1	-1	1	0.26
GNL3	TCF7L2	-1	-1	1	0.496
GNL3	TIF1B	-1	-1	1	0.427
GNL3	YY1	1	1	1	0.248
JUN	AIB1	1	1	1	0.133
JUN	BRCA1	-1	-1	1	0.202
JUN	BRD4	1	1	1	0.121
JUN	BYSL	-1	-1	1	0.439
JUN	CCNB1	1	1	1	0.215
JUN	CEBPB	1	1	1	0.327
JUN	DP2	1	1	1	0.217
JUN	E2F4	-1	-1	1	0.691
JUN	ENO1	-1	-1	1	0.323
JUN	GCN1L1	1	1	1	0.355
JUN	GNL3	-1	-1	1	0.596
JUN	JUN	-1	-1	1	0.391
JUN	LKB1	1	1	1	0.41
JUN	MAX_1	-1	-1	1	0.465
JUN	MIZ1	-1	-1	1	0.136
JUN	MYB	-1	-1	1	0.255
